config_name,first_choice_pct,avg_student_satisfaction_rate,workload_std_dev,balance_weight,score_weights
Config_109,58.666666666666664,79.75,2.0450300830644537,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_110,63.33333333333333,80.41666666666667,2.2932664732999704,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_111,64.66666666666666,80.41666666666667,2.233795055131718,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_112,60.66666666666667,82.08333333333333,2.127980706395726,2.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_113,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_114,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_115,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_116,100.0,77.25,3.285959929156657,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_117,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_118,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_119,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_120,100.0,77.25,3.3092867524391685,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_121,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_122,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_123,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_124,100.0,77.25,3.3150928114203553,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_125,100.0,76.25,3.1909478279405645,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_126,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_127,100.0,77.25,3.2976439669779847,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_128,98.66666666666667,77.91666666666667,3.2565664377862045,2.0,"{'prog_first_choice': 100, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_129,60.0,81.3611111111111,0.6718473114252792,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_130,60.0,82.69444444444444,0.8488872593578873,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_131,57.99999999999999,84.52777777777777,1.1886619668382754,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_132,54.666666666666664,84.77777777777777,0.9554670436011059,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_133,52.0,82.02777777777777,1.1558521507895203,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_134,52.0,82.02777777777777,0.9949072058895314,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_135,46.0,84.69444444444444,0.9351233784620611,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_136,50.66666666666667,84.77777777777777,1.266974728917483,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_137,30.0,79.75,2.47087534362127,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_138,29.333333333333332,80.41666666666667,2.4786461026489985,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_139,28.000000000000004,82.69444444444444,2.423727652387186,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_140,29.333333333333332,84.69444444444444,2.423727652387186,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_141,30.0,79.75,2.47087534362127,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_142,29.333333333333332,80.41666666666667,2.4786461026489985,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_143,26.0,82.02777777777777,2.5171400824119345,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_144,24.0,83.02777777777777,2.5924138518184447,5.0,"{'prog_first_choice': 10, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_145,100.0,75.91666666666667,3.148478564546349,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_146,96.66666666666667,77.91666666666667,3.01110667782694,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_147,84.0,83.75,2.5323738411632353,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_148,81.33333333333333,84.52777777777777,2.5247684513527773,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_149,88.66666666666667,76.91666666666667,2.5171400824119345,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_150,86.0,79.25,2.4630800687866383,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_151,78.0,84.25,2.351234119944769,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_152,76.0,84.69444444444444,2.351234119944769,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_153,37.333333333333336,78.75,2.318287241250812,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_154,38.0,78.91666666666667,2.2932664732999704,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_155,34.66666666666667,82.75,2.233795055131718,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_156,34.66666666666667,84.69444444444444,2.250947228447169,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_157,32.666666666666664,78.41666666666667,2.5323738411632353,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_158,32.666666666666664,78.41666666666667,2.5323738411632353,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_159,28.666666666666668,81.25,2.5094885247841288,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_160,28.666666666666668,82.58333333333333,2.4395447956267122,5.0,"{'prog_first_choice': 20, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_161,100.0,75.91666666666667,3.148478564546349,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_162,100.0,76.25,3.1909478279405645,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_163,100.0,77.25,3.3092867524391685,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_164,90.66666666666666,81.91666666666667,2.953067825008451,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_165,100.0,75.91666666666667,3.148478564546349,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_166,100.0,76.25,3.1909478279405645,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_167,100.0,77.25,3.3150928114203553,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_168,90.66666666666666,81.91666666666667,2.9005029342181055,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_169,100.0,75.91666666666667,3.148478564546349,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
Config_170,100.0,76.25,3.1909478279405645,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 20}"
Config_171,98.66666666666667,77.91666666666667,3.2565664377862045,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 50}"
Config_172,88.0,82.58333333333333,2.8537145095781864,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 25, 'student_topic_satisfaction': 100}"
Config_173,59.333333333333336,79.41666666666667,1.9974584722418922,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 10}"
Config_174,61.33333333333333,79.41666666666667,2.0356047018458834,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 20}"
Config_175,64.66666666666666,80.41666666666667,2.233795055131718,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 50}"
Config_176,60.66666666666667,82.08333333333333,2.1006944735986326,5.0,"{'prog_first_choice': 50, 'prog_second_choice': 50, 'student_topic_satisfaction': 100}"
Config_177,100.0,75.91666666666667,3.148478564546349,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 10}"
Config_178,100.0,76.25,3.1909478279405645,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 20}"
Config_179,100.0,77.25,3.285959929156657,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 50}"
Config_180,100.0,77.25,3.285959929156657,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 5, 'student_topic_satisfaction': 100}"
Config_181,100.0,75.91666666666667,3.148478564546349,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 10}"
Config_182,100.0,76.25,3.1909478279405645,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 20}"
Config_183,100.0,77.25,3.2976439669779847,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 50}"
Config_184,100.0,77.25,3.3150928114203553,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 10, 'student_topic_satisfaction': 100}"
Config_185,100.0,75.91666666666667,3.148478564546349,5.0,"{'prog_first_choice': 100, 'prog_second_choice': 25, 'student_topic_satisfaction': 10}"
